group;name;protein;fat;carb;calorie
Zöldség-, főzelékfélék és készítményeik;Uborka;1;0,1;1,7;12
Zöldség-, főzelékfélék és készítményeik;Újhagyma;2,2;0,3;6,3;37
Zöldség-, főzelékfélék és készítményeik;Vargánya;6,4;0,8;1,3;38
Zöldség-, főzelékfélék és készítményeik;Vargánya (szárított);38,3;1,8;31,5;303
Zöldség-, főzelékfélék és készítményeik;Vegyes savanyúság;0,8;0,1;2,4;14
Zöldség-, főzelékfélék és készítményeik;Vöröshagyma;1,2;0,1;8,3;39
Zöldség-, főzelékfélék és készítményeik;Vöröshagyma (fagyasztott);1,4;0,1;7,4;37
Zöldség-, főzelékfélék és készítményeik;Zellergumó;1,4;0,3;5;28
Zöldség-, főzelékfélék és készítményeik;Zöldbab;2,6;0,3;6,8;40,3
Zöldség-, főzelékfélék és készítményeik;Zöldbab (konzerv);1,6;0,2;4,3;26
Zöldség-, főzelékfélék és készítményeik;Zöldborsó;7;0,4;14;87,6
Zöldség-, főzelékfélék és készítményeik;Zöldborsó (fagyasztott);6,5;0,4;15;92
Zöldség-, főzelékfélék és készítményeik;Zöldborsó (zsenge, fagyasztott);5,7;0,4;12;77
Zöldség-, főzelékfélék és készítményeik;Zöldsaláta;1,4;0,3;2;16
Halak, halkonzervek;Amur;18;7,5;0,2;145
Halak, halkonzervek;Busa;18;1,9;0,6;94
Halak, halkonzervek;Fogas;19;0,8;0,2;86
Halak, halkonzervek;Harcsa;17,5;0,8;0,2;280
Halak, halkonzervek;Heck;20,2;0,9;0;89
Halak, halkonzervek;Herng, olajos;15,9;33,8;0,7;382
Halak, halkonzervek;Hernig, paradicsomos;18,9;14,6;0,8;217
Halak, halkonzervek;Kaviár;26;16;4,6;274
Halak, halkonzervek;Lazac;20;14;0,2;213
Halak, halkonzervek;Pisztráng;21,5;2,9;0,2;116
Halak, halkonzervek;Ponty (nyurga);16;4;0,1;101
Halak, halkonzervek;Ponty (tükör);15,8;8,7;0,1;146
Halak, halkonzervek;Szardínia, olajos;22,5;21,4;0,3;292
Halak, halkonzervek;Tengeri hal;19,4;0,5;1,2;86,9
Halak, halkonzervek;Tőkehal, file;19,4;0,5;1,2;89
Halak, halkonzervek;Tonhal;19,4;0,5;1,2;86
Magok;Dió;18,6;57;11,7;634
Magok;Földimogyoró;26,7;47,2;14,7;609
Magok;Geszteny;4,8;1,5;32,6;167
Magok;Kesudió;18;42;32;596
Magok;Kókuszdió, friss;3,9;37;10;401
Magok;Mák;20,5;38,2;23,9;537
Magok;Mandula;27,6;52,2;6,8;607
Magok;Mogyoró;15,6;63,5;8,7;690
Magok;Napraforgó mag;18,7;47,5;17,4;590
Magok;Paradió;14;66,9;7,2;709
Magok;Pisztácia;22,3;54;13,8;650
Magok;Tökmag;33,9;50,5;3,6;623
Gyümölcsök, gyümölcskészítmények;Alma, aszalt;1,4;0;55,4;242
Gyümölcsök, gyümölcskészítmények;Alma, befőtt;0,3;0;20,2;85
Gyümölcsök, gyümölcskészítmények;Alma, Jonatán;0,4;0;7;33,2
Gyümölcsök, gyümölcskészítmények;Ananász, karika;0,4;0;12;55,9
Gyümölcsök, gyümölcskészítmények;Ananász, friss;0,4;0;12;53
Gyümölcsök, gyümölcskészítmények;Banán;1,3;0;24,2;102,9
Gyümölcsök, gyümölcskészítmények;Barack;0,7;0;9;41,5
Gyümölcsök, gyümölcskészítmények;Birsalma;0,6;0;9,1;42
Gyümölcsök, gyümölcskészítmények;Citrom;0,4;0;2,3;27
Gyümölcsök, gyümölcskészítmények;Citromlé;0,4;0;2,3;63
Gyümölcsök, gyümölcskészítmények;Cseresznye;0,8;0;14;63
Gyümölcsök, gyümölcskészítmények;Csipkebogyó, lekvér;0,5;0;58;242
Gyümölcsök, gyümölcskészítmények;Datolya (préselt);1,9;0;72,5;308
Gyümölcsök, gyümölcskészítmények;Dinnye (sárga húsú);0,3;0;9,5;40
Gyümölcsök, gyümölcskészítmények;Dinnye (zöld húsú);0,3;0;11,1;47
Gyümölcsök, gyümölcskészítmények;Füge, szárított;3,5;0;62;262
Gyümölcsök, gyümölcskészítmények;Földieper (szamóca);0,9;0;7,2;35
Gyümölcsök, gyümölcskészítmények;Gesztenyekrém (gyorsfagyasztott);2,1;0,6;43,6;193
Gyümölcsök, gyümölcskészítmények;Gesztenyepüré (gyorsfagyasztott);2;0,6;47,6;209
Gyümölcsök, gyümölcskészítmények;Grapefruit;0,5;0;7,2;36
Gyümölcsök, gyümölcskészítmények;Gyümölcssaláta;0,7;0;13,4;60
Gyümölcsök, gyümölcskészítmények;Görögdinnye;0,5;0;6,5;29
Gyümölcsök, gyümölcskészítmények;Kajszibarack;0,9;0;10,2;48
Gyümölcsök, gyümölcskészítmények;Kiwi;1;0;11,3;54,6
Gyümölcsök, gyümölcskészítmények;Körte;0,4;0;12;52,3
Gyümölcsök, gyümölcskészítmények;Körte befőtt;0,3;0;23,7;99
Gyümölcsök, gyümölcskészítmények;Málna;1,2;0;5,4;29
Gyümölcsök, gyümölcskészítmények;Málna (Fertődi, gyorsfagyasztott);1,1;0;6,2;39
Gyümölcsök, gyümölcskészítmények;Málna (Nagymarosi gyorsfagyasztott);1,4;0;13;62
Gyümölcsök, gyümölcskészítmények;Málna dzsem, üveges;1,5;0;63,3;263
Gyümölcsök, gyümölcskészítmények;Mandarin;1,7;0;10,8;50,2
Gyümölcsök, gyümölcskészítmények;Mazsola;3,5;0;62;273,7
Gyümölcsök, gyümölcskészítmények;Meggy;0,8;0;11;52
Gyümölcsök, gyümölcskészítmények;Meggy befőtt;0,6;0;20,8;90
Gyümölcsök, gyümölcskészítmények;Meggy dzsem, üveges;0,4;0;70,3;292
Gyümölcsök, gyümölcskészítmények;Meggy (gyorsfagyasztott);0,5;0;10,8;48
Gyümölcsök, gyümölcskészítmények;Narancs;0,6;0;8,5;41
Gyümölcsök, gyümölcskészítmények;Narancslé;1,6;0;8,5;49,9
Gyümölcsök, gyümölcskészítmények;Nektarin;0,4;0;11,4;49
Gyümölcsök, gyümölcskészítmények;Őszibarack;0,7;0;9;41
