Gyümölcslevek, zöldséglevek, üdítőitalok;friss citromlé;0.4;0.1;7.8;47
Gyümölcslevek, zöldséglevek, üdítőitalok;friss grapefruitlé;0.6;0.1;8.7;42
Gyümölcslevek, zöldséglevek, üdítőitalok;friss narancslé;0.7;0.2;10.8;212
Gyümölcslevek, zöldséglevek, üdítőitalok;friss paradicsomlé;0.8;0;3;16
Gyümölcslevek, zöldséglevek, üdítőitalok;friss szőlőlé;0.2;0;12.4;57
Gyümölcslevek, zöldséglevek, üdítőitalok;friss sárgarépalé;0.6;0;4.7;23
Gyümölcslevek, zöldséglevek, üdítőitalok;gyömbér üdítő;0;0;8.8;37
Gyümölcslevek, zöldséglevek, üdítőitalok;kókusztej;0.3;0.4;1.4;10
Gyümölcslevek, zöldséglevek, üdítőitalok;light rostos sárgabaracklé;0;0;4.5;19
Gyümölcslevek, zöldséglevek, üdítőitalok;light rostos őszibaracklé;0;0;5.2;20
Gyümölcslevek, zöldséglevek, üdítőitalok;light szűrt almalé;0;0;2.8;12
Gyümölcslevek, zöldséglevek, üdítőitalok;málnaszörp;0;0;66.1;270
Gyümölcslevek, zöldséglevek, üdítőitalok;narancs szörp;2.4;1.5;53.1;250
Gyümölcslevek, zöldséglevek, üdítőitalok;narancs üdítő;0;0;12.1;49
Gyümölcslevek, zöldséglevek, üdítőitalok;narancslé light;0.7;0.2;10.3;50
Gyümölcslevek, zöldséglevek, üdítőitalok;rostos körtelé 40%-os;0.2;0.1;14.9;62
Gyümölcslevek, zöldséglevek, üdítőitalok;rostos sárgabaracklé 40 %-os;0.4;0.1;14.2;61
Gyümölcslevek, zöldséglevek, üdítőitalok;rostos őszibaracklé 40%-os;0.3;0;13.4;55
Gyümölcslevek, zöldséglevek, üdítőitalok;szűrt almalé 12%-os;0;0;15;61
Gyümölcslevek, zöldséglevek, üdítőitalok;szűrt narancslé 40%-os;0.3;0.1;14.6;63
Gyümölcslevek, zöldséglevek, üdítőitalok;szűrt szőlőlé 12%-os;0;0;14.4;58
Gyümölcslevek, zöldséglevek, üdítőitalok;tonic üdítő;0;0;8.7;33
Gyümölcsök, gyümölcskészítmények;Alma, Jonatán;0.4;0;7.1;34.2
Gyümölcsök, gyümölcskészítmények;Alma, aszalt;1.4;0;55.6;246
Gyümölcsök, gyümölcskészítmények;Alma, befőtt;0.3;0;20.1;84
Gyümölcsök, gyümölcskészítmények;Ananász, friss;0.4;0;12.3;55
Gyümölcsök, gyümölcskészítmények;Ananász, karika;0.4;0;11.8;53.9
Gyümölcsök, gyümölcskészítmények;Banán;1.3;0;24.4;106.9
Gyümölcsök, gyümölcskészítmények;Barack;0.7;0;8.9;39.5
Gyümölcsök, gyümölcskészítmények;Birsalma;0.6;0;9;41
